msa_sentence,dialect_sentence,split,dialect,region
أما الذكيات فأخذن زيتا إضافيا في أباريقهن مع المصابيح.,آما الي يعرفوا كيفاش يتصرفوا، هزوا ابادن متاع زيت مع الفنارات متاعهم.,train,Tunis,MGR
فقال الملك لخدامه: ‹اربطوا رجليه ويديه، وألقوه خارجا إلى الظلمة، حيث يبكي الناس ويصرون على أسنانهم.›,"وقتها قال الملك للخدام: ""كتفوه من يديه وساقيه وأرميوه البرة في الظلام والغادي باش يكون البكاء وغزان السنين.""",train,Tunis,MGR
«وهكذا يذهب الأشرار إلى عقاب أبدي، أما الأبرار فيذهبون إلى حياة أبدية.»,وهوما باش يمشيو يتعذبوا للأبد، آما الأبرار باش يمشيو للحياة الأبدية.»,train,Tunis,MGR
«عندما يخرج روح نجس من إنسان، فإنه يجتاز أماكن جافة ساعيا إلى مكان راحة، فلا يجد،,«وقتلي يخرج الروح المنزوس من إنسان، يتعدى في البلايص الي ما فيهاش ماء يلوج على الراحة، آما ما يلقاش حتى بلاصة.,train,Tunis,MGR
لكنكم تقولون: ‹من قال لأبيه أو أمه: لا أستطيع مساعدتكما، لأن كل ما أمتلكه قد قدمته للرب. فهو غير ملزم بإكرام أبيه أو أمه.›,"آما إنتوما تقولوا إذا واحد يقول لبوه ولا أمو: ""الي كنت نعاون فيك بيه راني عطيتو لله، موش لازم عليه باش يكرم بوه.""",train,Tunis,MGR
وسيقتلونه. ولكنه في اليوم الثالث سيقوم من الموت.» فحزن التلاميذ جدا. ضريبة الهيكل,وبش يقتلوني وبش نقوم في النهار الثالث.» ياخي تقلقوا برشة. يسوع يدفع الضرايب متاع الهيكل,train,Tunis,MGR
ثم بصقوا عليه، وأخذوا القصبة من يده، وبدأوا يضربونه على رأسه.,وبصقوا عليه، وشدوا القصبة وضربوه بيها على راسو.,train,Tunis,MGR
وقالوا لهم: «أشيعوا بين الناس أن تلاميذ يسوع جاءوا في الليل وسرقوا جسده بينما أنتم نيام.,"وقالولهم: «قولوا للناس: ""راهم تلامذتو جاو في الليل وسرقوه وقتلي أحنا راقدين.""",train,Tunis,MGR
ثم طلب يسوع من تلاميذه أن يركبوا القارب ويسبقوه إلى الضفة الأخرى، بينما يصرف هو الجمع.,ومبعدها بالضبط أمر تلامذتو باش يطلعوا في الفلوكة ويسبقوه للجيهة المقابلة متاع البحيرة حتى لين هو يبعث الناس يروحوا.,train,Tunis,MGR
فاذهبوا، وتلمذوا جميع أمم الأرض، وعمدوهم باسم الآب والابن والروح القدس،,إمالا إمشيو وأعملوا تلامذة في الشعوب الكلهم، وعمدوهم بإسم الآب والإبن والروح القدس،,train,Tunis,MGR
لذلك اذهبوا إلى زوايا الشوارع، وادعوا كل الذين تجدونهم لحضور وليمة العرس.,"إمالا إمشيو للشوارع واستدعوا قد ما تنجموا الناس للسهرية متاع العرس.""",train,Tunis,MGR
أما أنا فأقول لكم إن من يغضب من شخص آخر فإنه يستحق المحاكمة، ومن يشتم شخصا آخر ينبغي أن يقف أمام مجلس القضاء. وكل من يقول لشخص آخر: ‹أيها الغبي› يستحق الجحيم.,آما آنا راني نقلكم: الي يتغشش على خوه يلزمو تحكم عليه المحكمة، ولي يقول لخوه: يا جاهل، يلزمو يحكم عليه المجلس متاع اليهود، ولي يقول لخوه: يا بهيم، يلزمو يدخل لجهنم.,train,Tunis,MGR
فهرب الرعاة إلى البلدة، وأخبروا الناس بما حدث للمسكونين بأرواح شريرة.,هربوا السراح ودخلوا للمدينة وقالوا على كل شيء وعلي جرى للزوز رجال الي ساكنتهم الشواطن.,train,Tunis,MGR
فأجابه يسوع: «يقول الكتاب أيضا: ‹لا تمتحن الرب إلهك.›»,"# تث ‏6‏:16 جاوبو يسوع: «مكتوب زادا: ""ما تجربش الرب إلاهك.""»",train,Tunis,MGR
«أما الذي زرع على الأرض الصالحة، فهو الذي يسمع الكلمة ويفهمها فيثمر بالفعل. فيحصد مرة مئة ضعف، ومرة ستين ضعفا، ومرة ثلاثين ضعفا.» مثل القمح والأعشاب الضارة,ولي تزرع في التربة الباهية، هو الي يسمع الكلمة ويفهمها، ويجيب برشة زريعة وثمة الي يجيب مياة مرة قد الي تزرع، وواحد آخر ستين، وواحد آخر ثلاثين.» مثل الزوان,train,Tunis,MGR
يعيش الملك,يسوع يدخل لأورشليم ( مرقس ‏11‏:‏1‏-11 ؛ لوقا ‏19‏:‏28‏-40 ؛ يوحنا ‏12‏:‏12‏-19 ),train,Tunis,MGR
ها إن بيتكم سيترك لكم فارغا مهجورا!,هاي داركم باش تبقالكم خربة.,train,Tunis,MGR
وبعد أن ماتوا جميعا، ماتت المرأة أيضا.,ومبعدهم الكل زادت ماتت المرا.,train,Tunis,MGR
أيها المرشدون العمي، إنكم ترفعون البعوضة من كأسكم، ولكنكم تبلعون الجمل!,يلي تقودوا في الناس يا عميان! تصفوا الماء مالناموسة وتبلعوا الجمل.,train,Tunis,MGR
فلم يكونوا يعرفون ما سيحدث، حتى جاء الطوفان وأخذهم. هكذا سيكون أيضا في مجيء ابن الإنسان.,وما كانوش في بالهم بحتى شيء حتى لين جات الفيضانات وهزتهم الكلهم. هكاكا باش يجرى وقتلي نجي آنا إبن الإنسان:,train,Tunis,MGR
وجاءت إليه امرأة كنعانية كانت تعيش في تلك المنطقة، وبدأت تصرخ: «ارحمني يا رب، يا ابن داود. فابنتي مسكونة بروح شرير، وهي تتألم جدا.»,والغادي جات مرا كنعانية مالمنطقة هاذيكا وصاحت: «يا سيدي، يا ولد داود، ارحمني! بنتي ساكنها شيطان، ويعذب فيها برشة.»,train,Tunis,MGR
أقول الحق لكم: لن ينقضي هذا الجيل إلى أن تحدث كل هذه الأشياء.,نقلكم الحق: الجيل هاذا موش باش يوفى حتى لين تاقع الحاجات هاذي الكلها.,train,Tunis,MGR
وركب يسوع القارب، وتبعه تلاميذه.,وقتلي طلع يسوع في الفلوكة خلطوا عليه تلامذتو.,train,Tunis,MGR
حينئذ غضب الملك وأرسل جيشه فقتلوا أولئك القتلة، وأحرقوا مدينتهم.,تغشش الملك وبعث الجنود متاعو وقتل المجرمة هاذوكم وحرقلهم مدينتهم.,train,Tunis,MGR
الحكم على الآخرين,ما تحكموش على الناس ( لوقا ‏6‏:‏37‏-38 ، ‏41‏-42 ),train,Tunis,MGR
وانفتحت القبور، وقامت أجساد كثيرين من المؤمنين المقدسين الذين كانوا قد ماتوا.,وتحلت القبور، وبرشة بدونات متاع القديسين الي راقدين فيها قاموا.,train,Tunis,MGR
فاترك تقدمتك هناك أمام المذبح، واذهب واصطلح مع ذلك الشخص أولا، ثم ارجع وقدم تقدمتك.,خلي القربان متاعك قدام المذبح وإمشي في الأول اتصالح مع خوك، ومباعد إيجا وقدم القربان متاعك.,train,Tunis,MGR
ثم أسرع أحد الواقفين هناك، وأخذ إسفنجة وغمسها بالخل، ووضعها على قصبة طويلة، وقدمها له ليشرب.,# مز ‏69‏:21 وواحد منهم جرى وهز شيفونة، نفخها في الخل وحطها في قصبة ومدهالو باش يشرب.,train,Tunis,MGR
فأشفق السيد عليه، وألغى عنه الدين كاملا وتركه يذهب.,وسخف عليه سيدو وسيبو وسامحو على الدين.,train,Tunis,MGR
فقال لهم: «إذا كيف دعاه داود ‹سيدا›عندما قال وهو مقاد بالروح:,"قاللهم: «كيفاش إمالا داود يناديلو ""الرب"" وقتلي وحالو الروح وقال:",train,Tunis,MGR
لكن يسوع أجابه: «يقول الكتاب: ‹لا يعيش الإنسان على الخبز وحده.› بل بكل كلمة تخرج من فم الله.›»,# لا ‏8‏:3 جاوبو يسوع: «يقول الكتاب المقدس:  موش بالخبز برك الإنسان يعيش،  آما بكل كلمة تخرج من عند الله.»,train,Tunis,MGR
لكن لأنه بلا جذور في نفسه، فإنه يصمد لوقت قصير، وعندما يأتي الضيق والاضطهاد بسبب الكلمة التي قبلها، يفقد إيمانه سريعا.,آما ما عندوش عروق في داخلو، يصبر شوية ووقتلي يجي وقت صعيب ولا إضطهاد على خاطر الكلمة، بالوقت يطيح.,train,Tunis,MGR
الاتحاد في الزواج,الزواج والطلاق ( مرقس ‏10‏:‏1‏-12 ),train,Tunis,MGR
فوقف رئيس الكهنة وقال: «ألن تدافع عن كل الاتهامات التي يتهمك بها هذان الرجلان؟»,وقام أعلى واحد في رؤساء الكهان وقال: «ياخي ما عندك ما تجاوب؟ ياخي ما كش تسمع في الرجال هاذوما كيفاش يشهدوا عليك؟»,train,Tunis,MGR
فلما سمع يسوع ذلك، قال: «لا يحتاج الأصحاء إلى طبيب، بل المرضى.,آما كسمع يسوع الشيء هاذاكا، قال: «موش الصحاح هوما الي محتاجين لطبيب، آما راهم المرضى.,train,Tunis,MGR
فقال له تلاميذه: «إن كان هذا هو الحال بين الزوج وزوجته، فإنه من الأفضل عدم الزواج!»,قالولو التلامذة: «إذا كان هاذي حالة الراجل مع مرتو، خيرلو إذا كان ما يعرسش.»,train,Tunis,MGR
يسوع يشفي يوم السبت,الراجل الي يدو يابسة يتشفى ( متى ‏12‏:‏9‏-14 ؛ لوقا ‏6‏:‏6‏-11 ),train,Tunis,MGR
وعندما رأى يوحنا أن كثيرين من الفريسيين والصدوقيين يأتون لكي يعمدهم، قال لهم: «يا نسل الأفاعي، من الذي نبهكم إلى الهروب من الغضب القادم؟,ووقتلي شاف برشة فريسيين وصدوقيين يجيوه باش يتعمدوا، قاللهم: «يا ولاد اللفاعي! شكون الي نبهكم باش تهربوا من الغضب الي جاي متاع الله؟,train,Tunis,MGR
وقال لهم يسوع: «احذروا واحترسوا من خميرة الفريسيين والصدوقيين.»,قاللهم يسوع: «فيقوا وردوا بالكم مالخميرة متاع الفريسيين والصدوقيين.»,train,Tunis,MGR
وقال: «أقول الحق لكم، ما لم تتغيروا وتصيروا كأطفال، فلن تدخلوا ملكوت السماوات.,وقال: «نقلكم الحق: إذا كان ما توليوش كيف الولاد الصغار، عمركم ما تدخلوا لمملكة السماوات.,train,Tunis,MGR
وقد كان عدد الذين أكلوا خمسة آلاف رجل، ما عدا النساء والأطفال. يسوع يمشي على الماء,والناس الي كلاو كانوا قرابة خمسة آلاف راجل، بخلاف النساء والصغار. يسوع يمشي فوق الماء ( مرقس ‏6‏:‏45‏-52 ؛ يوحنا ‏6‏:‏15‏-21 ),train,Tunis,MGR
«لا تخزنوا لأنفسكم كنوزا على الأرض، حيث يتلفها العفن والصدأ، وحيث يمكن للصوص أن يقتحموا بيوتكم ويسرقوها.,«ما تخبوش لرواحكم كنوز في الأرض يفسدها السوس والصديد، ويحفروا عليها السراق ويسرقوها.,train,Tunis,MGR
فوبخه يسوع وقال له: «اخرس واخرج منه!»,ياخي يسوع أمرو وقالو: «اسكت! وأخرج منو.»,train,Tunis,MGR
فالتفت يسوع وقال لبطرس: «ابتعد عني يا شيطان! أنت عائق أمامي لأنك لا تهتم لأمور الله، بل لأمور البشر.»,آما يسوع تلفت وقال لبطرس: «إبعد علي يا شيطان! إنت تعطل في، على خاطرك تفكر كيف الناس موش كيف الله.»,train,Tunis,MGR
يوشيا أبو يكنيا  #يكنيا.  11:1  اسم آخر ليهوياكين.  وإخوته. هذا إلى وقت سبي بني إسرائيل إلى بابل.,ويوشيا جاب يكنيا وإخوتو وقتلي كانوا اليهود منفيين في بابل.,train,Tunis,MGR
فقالوا له: «سيقضي عليهم بطريقة رهيبة لأنهم أشرار، ثم يعطي الكرم لفلاحين آخرين يعطونه الثمر في موسم الثمر.»,قالولو شيوخ اليهود: «باش يقتل هاكا الأشرار ويعطي سانية العنب لخماسا أخرين الي باش يعطوه الصابة متاع العنب في وقتها.»,train,Tunis,MGR
فذهب التلميذان وعملا كما قال يسوع.,مشاو الزوز تلامذة وعملوا كيف ما أمرهم يسوع,train,Tunis,MGR
فتحنن يسوع عليهما، ولمس أعينهما، فأبصرا حالا وتبعاه.,وحن عليهم يسوع ومسلهم عينيهم، وبالوقت ولاو يشوفوا وتبعوه.,train,Tunis,MGR
فأخذ كبار الكهنة قطع النقد وقالوا: «ليس مسموحا بأن نضع هذا المال في خزينة الهيكل لأنه ثمن حياة إنسان.»,آما رؤساء الكهان هزوا الفضة وقالوا: «موش حلال باش نحطوها في الصندوق متاع الهيكل، ما دامها فلوس متاع دم.»,train,Tunis,MGR
حينئذ يذهب ويحضر معه سبعة أرواح أخر تفوقه شرا، فتدخل وتسكن هناك. وهكذا تكون حالة ذلك الإنسان الأخيرة أسوأ من حالته الأولى. هكذا سيحدث مع هذا الجيل الحاضر الشرير.» تلاميذ يسوع هم عائلته,يولي يمشي ويجيب معاه سبعة أرواح أخرين أخيب منو ويدخلوا في الإنسان هاذاكا ويسكنوا فيه وحالتو تولي أخيب ملي كانت عليه قبل. وهكا زادا باش يجرى في الجيل الشرير هاذا.» أم يسوع وإخوتو ( مرقس ‏3‏:‏31‏-35 ؛ لوقا ‏8‏:‏19‏-21 ),train,Tunis,MGR
لكن اهتموا أولا بملكوت الله وبره، وستعطى لكم جميع هذه الأمور أيضا.,آما إنتوما لوجوا في الأول على مملكة الله والبر متاعو، والحاجات هاذي زادا باش تتعطالكم.,train,Tunis,MGR
وكل ما تطلبونه وأنتم تصلون، فإنكم ستنالونه إن آمنتم.» التشكيك بسلطان يسوع,أي حاجة تطلبوها في الصلاة، امنوا الي إنتوما خذيتوها تو تاخذوها.» السلطة متاع يسوع ( مرقس ‏11‏:‏27‏-33 ؛ لوقا ‏20‏:‏1‏-8 ),train,Tunis,MGR
إذا لا تخافوا، فأنتم أثمن من عصافير كثيرة. الاعتراف بالمسيح أمام الناس,ما تخافوش، إنتوما خير من برشة عصافر!,train,Tunis,MGR
وعمل الذي أخذ الكيسين مثل الأول، وكسب كيسين آخرين.,ولي خذا زوز صرر زادا، ربح زوز صرر أخرين.,train,Tunis,MGR
وجموع الناس الذين كانوا يسيرون أمامه وخلفه كانوا يهتفون: «يعيش الملك!  #يعيش الملك.  9:21  حرفيا: «هوشعنا.» ومعناها في العبرية: «خلص الآن.» والأرجح انها هنا صيحة هتاف لتسبيح الله ومسيحه الملك. مكررة في العدد 15.  يعيش ابن داود. ‹مبارك هو الآتي باسم الرب.› يعيش الملك في علاه.»,# مز ‏118‏:26؛ لو ‏2‏:14؛ مت ‏21‏:15؛ ‏23‏:39 والناس الي سبقوه ولي يتبعوا فيه يناديو:  أوصنا لولد داود!  مبارك إلي جاي بإسم الرب!  أوصنا في الأعالي!,train,Tunis,MGR
ثم نزل يسوع من منطقة الجبال، وتبعه كثيرون.,وقتلي هبط يسوع مالجبل، تبعوه برشة ناس.,train,Tunis,MGR
ثم قال له يسوع: «إياك أن تخبر أحدا بما حدث معك، بل اذهب وأر نفسك للكاهن،  #اذهب … للكاهن.  4:8  كان الكاهن هو الذي يقرر بحسب الشريعة متى يعتبر الأبرص طاهرا.  وقدم التقدمة التي أمر بها موسى، فيعلم الناس أنك شفيت.» إيمان ضابط روماني,# لا ‏14‏:2 وقالو يسوع: «ما تقولش لحتى حد. آما إمشي للكاهن خليه يشوفك. ومباعد قدم القربان الي أمر بيه موسى، شهادة ليهم.» العبد متاع قايد الميا يتشفى ( لوقا ‏7‏:‏1‏-10 ؛ يوحنا ‏4‏:‏43‏-54 ),train,Tunis,MGR
أنا عمدتكم في الماء، أما هو فسيعمدكم في الروح القدس.» معمودية يسوع,آنا عمدتكم بالماء، آما هو باش يعمدكم بالروح القدس.» يسوع يتعمد ويجربو الشيطان ( متى ‏3‏:‏13‏-17 ؛ لوقا ‏3‏:‏21‏-22 ),train,Tunis,MGR
ولا تدعوا الناس ينادوكم ‹يا سيدي،› لأن لكم سيدا واحدا هو المسيح.,"وما تخليوش حتى واحد يقلكم: ""يا سيادي"" على خاطر عندكم سيد واحد الي هو المسيح.",train,Tunis,MGR
ولما صلبوا يسوع، قسموا ثيابه عليهم، وألقوا قرعة بينهم.,# مز ‏22‏:18 ووقتلي صلبوه عملوا قرعة على لبستو وقسموها.,train,Tunis,MGR
أقول لكم الحق، إنه سيوكله على جميع أملاكه.,نقلكم الحق: راهو باش يوكلو على أملاكو الكلها.,train,Tunis,MGR
فمد يسوع يده على الفور وأمسك به، وقال له: «يا قليل الإيمان، لماذا شككت؟»,بالوقت مد يسوع يدو وشدو وقالو: «يلي إيمانك ضعيف، علاش شكيت؟»,train,Tunis,MGR
لكن إن كنت أطرد الأرواح الشريرة بروح الله، فقد صار واضحا أن ملكوت الله قد جاء إليكم.,آما إذا كان آنا نخرج في الشواطن بروح الله، إمالا راهي مملكة الله سيطرت عليكم.,train,Tunis,MGR
ونحو الساعة الثالثة، صرخ يسوع بصوت عال وقال: «إيلي، إيلي، لما شبقتني؟»  #إيلي … شبقتني.  46:27  من المزمور 22: 1.  أي: «إلهي، إلهي، لماذا تركتني؟»,# مز ‏22‏:1 وتقريب مع الثلاثة صاح يسوع بصوت عالي: «إيلي! إيلي! لما شبقتني؟» الي معناها «يا ربي! يا ربي! علاش خليتني؟»,train,Tunis,MGR
ثم تركهم يسوع وخرج من المدينة إلى بلدة بيت عنيا، وأمضى الليلة هناك. قوة الإيمان,وخلاهم وخرج البرة مالمدينة لبيت عنيا وبات الغادي. يسوع يلعن الكرمة ( مرقس ‏11‏:‏12‏-14 ، ‏20‏-24 ),train,Tunis,MGR
فأي الأمرين أسهل: أن يقال للمشلول: ‹خطاياك مغفورة› أم أن يقال: ‹انهض واحمل فراشك وامش؟›,"آنا هو أسهل؟ باش يتقال للمشلول: ""ذنوبك تغفرت"" ولا يتقالو: ""قوم! هز فراشك وإمشي.""",train,Tunis,MGR
فسجد العبد على ركبتيه أمامه، وتوسل إليه وهو يقول: ‹تمهل علي، وسأدفع ما علي.›,"ياخي طاح الخديم الآخر على ركايبو وتشحتو وقال: ""أصبر علي، تو نخلصك.""",train,Tunis,MGR
أليس لي الحق أن أفعل ما أريد بما أملك؟ أم أنك غرت لأني صالح مع غيرك؟›,"ياخي ما عنديش الحق باش نتصرف في فلوسي كيف ما نحب؟ ولا إنت حسودي على خاطرني آنا كريم؟""»",train,Tunis,MGR
فيقول الملك: ‹أقول الحق لكم، كل شيء عملتموه لأحد إخوتي الضعفاء فإنما قد عملتموه لي.›»,"وآنا الملك باش نجاوبهم: ""نقلكم الحق في كل مرة عملتوا الشيء هاذاكا مع واحد من إخوتي الصغار هاذوما، راكم عملتوه معايا آنا!""",train,Tunis,MGR
«وعندما تصلون، لا تنطقوا بكلمات بغير فهم كما يفعل عابدو الأوثان، فهم يظنون أن صلواتهم ستستجاب بسبب كثرة كلامهم.,وكتصليو ما تقعدوش تعاودوا في كلام فارغ كيف الشعوب الأخرين الي ماشي في بالهم الي الله باش يسمعهم كيقولوا برشة كلام.,train,Tunis,MGR
وإذ غادر تلاميذ يوحنا المكان، بدأ يسوع يتحدث إلى الناس عن يوحنا فقال: «ما الذي خرجتم إلى البرية لتروه؟ قصبة تؤرجحها الريح؟,وقتلي مشاو تلامذة يوحنا بدا يسوع يحكي للناس على يوحنا وقال: «شنوة الي خرجتوا باش تشوفوه في الخلاء؟ قصبة يحرك فيها الريح؟,train,Tunis,MGR
«كل من يعترف بي أمام الآخرين، فسأعترف به أمام أبي الذي في السماء.,إمالا الي يعترف بي قدام الناس نعترف بيه قدام بويا الي في السماء.,train,Tunis,MGR
فأجابه يسوع: «من هي أمي، ومن هم إخوتي؟»,آما هو جاوب الراجل الي كلمو: «شكونها أمي، وشكونهم إخوتي؟»,train,Tunis,MGR
أما هم فدهشوا وقالوا: «أي رجل هذا، حتى إن الرياح والبحر يطيعانه؟» يسوع يخرج أرواحا شريرة من رجلين,والناس تعجبوا وقالوا: «شكونو هاذا الي حتى مالريح والبحيرة يطيعوه!» تطريد الشواطن وغرقان الحلالف ( مرقس ‏5‏:‏1‏-20 ؛ لوقا ‏8‏:‏26‏-39 ),train,Tunis,MGR
وبعد أن قام يسوع، خرجت تلك الأجساد من قبورها، ودخلت إلى المدينة المقدسة، وظهرت لكثيرين.,وخرجوا مالقبور بعد ما قام يسوع، ومشاو للمدينة المقدسة وظهروا لبرشة ناس.,train,Tunis,MGR
عبادتهم بلا فائدة، لأنهم يعلمون تعاليما هي ليست سوى وصايا بشرية.›»,باطل يعبدوا في  ويعلموا في وصايا الناس.» شنوة الي ينجس الإنسان ( مرقس ‏7‏:‏14‏-23 ),train,Tunis,MGR
ألم تدركوا بعد؟ ألا تذكرون الأرغفة الخمسة للخمسة آلاف، وكم سلة جمعتم من الكسر؟,ياخي التوا ما فهمتوش؟ ياخي ما تتذكروش الخمسة خبزات الي تفرقوا على الخمسة آلاف وقداش من قفة كبيرة لميتوا ملي فضل؟,train,Tunis,MGR
«يشبه ملكوت السماوات كنزا مدفونا في حقل. وجده شخص فدفنه ثانية. ولشدة فرحه، ذهب وباع كل ما يملكه واشترى ذلك الحقل.,«مملكة السماوات تشبه لكنز مدفون في سانية، لقاه راجل ياخي خباه، ومالفرحة مشى وباع كل ما عندو وشرى السانية هاذيكا.,train,Tunis,MGR
«ثم سيقول الملك للذين عن يمينه: ‹تعالوا يا من باركهم أبي. خذوا الملكوت الذي أعد لكم منذ خلق العالم.,"ومباعد باش نقول آنا الملك للي على يميني: ""إيجاو، يلي بارككم بابا، أورثوا المملكة الي تعملت ليكم ملي تخلقت الدنيا،",train,Tunis,MGR
وعندما رأى يسوع الجموع، صعد إلى تلة وجلس. فجاء إليه تلاميذه،,وكشاف يسوع الناس طلع للجبل وقعد والوقت هاذاكا جاوه تلامذتو،,train,Tunis,MGR
لأن النير الذي أنا أعطيه سهل، والحمل الذي أضعه عليكم خفيف.»,راهي الكفة متاعي ما هيش رزينة والحمل متاعي خفيف.»,train,Tunis,MGR
فأجابهم يسوع: «بسبب قلة إيمانكم. أقول الحق لكم، لو كان إيمانكم في حجم بذرة الخردل، فإنكم تستطيعون أن تقولوا لهذا الجبل: انتقل من هنا إلى هناك، فسينتقل، ولن يكون هناك شيء مستحيل عليكم.,"قاللهم: «بسبب إيمانكم الضعيف! نقلكم الحق، لوكان جا عندكم إيمان قد زريعة الخردل، راكم تقولوا للجبل هاذا: ""نقل من هنا لغادي!"" وهو باش ينقل، وراكم وليتوا قادرين على كل شيء.»",train,Tunis,MGR
لكني أقول لكم إن هناك ما هو أعظم من الهيكل هنا.,آما نقلكم: ثمة واحد هنا أعظم مالهيكل.,train,Tunis,MGR
فخرج جميع أهل البلدة ليروا يسوع. وعندما رأوه، رجوه أن يغادر منطقتهم.,ياخي خرجوا الناس الي في المدينة الكلهم باش يقابلوا يسوع. وتشحتوه باش يرحل من منطقتهم.,train,Tunis,MGR
فأخذ بعض معلمي الشريعة يقولون: «هذا الرجل يهين الله بكلامه.»,وثمة جماعة من الكتاب متاع اليهود قالوا في قلوبهم: «الراجل هاذا كفر!»,train,Tunis,MGR
شريعة الله وتقاليد الناس,العوايد متاع الجدود ( مرقس ‏7‏:‏1‏-13 ),train,Tunis,MGR
وعبر تلاميذ يسوع إلى الجهة الأخرى من البحيرة، لكنهم نسوا أن يحضروا خبزا.,كوصلوا التلامذة للشط المقابل، نساو باش يجيبوا معاهم الخبز،,train,Tunis,MGR
فهذا هو الذي كتب عنه: ‹ها أنا أرسل رسولي قدامك. ليعد الطريق أمامك.›»,"# ملا ‏3‏:1؛ مر ‏1‏:2 هاذا الي تكتب عليه في الكتاب المقدس: ""هاني نبعث قدامك رسولي، الي يحضرلك الطريق.""",train,Tunis,MGR
فأخذت الغبيات مصابيحهن، لكن لم يأخذن زيتا إضافيا معهن.,وقتلي الجهال هزوا الفنارات متاعهم، ما هزوش معاهم الزيت.,train,Tunis,MGR
فكان ذلك عائقا يمنعهم من قبوله. أما يسوع فقال لهم: «لا يكون نبي بلا كرامة إلا في وطنه وفي بيته!»,وهكا كانوا يشكوا فيه.  ياخي يسوع قاللهم: «النبي عندو قدر في البلايص الكلهم كان في بلادو وفي دارو»,train,Tunis,MGR
فاندهش الناس وقالوا: «هل يمكن أن يكون هذا الرجل ابن داود؟»,وتعجبوا الناس الكلهم وقالوا: «زعمة هاذا ولد داود؟»,train,Tunis,MGR
هنيئا للمضطهدين لأجل البر، لأن ملكوت السماوات قد أعطي لهم.,صحة ليهم الي يتعذبوا على خاطر الحق!  مملكة السماوات باش ياخذوا.,train,Tunis,MGR
«تعرفون أنه قيل لآبائكم: ‹لا تقتل.  #لا تقتل.  21:5  من كتاب الخروج 20: 13، وكتاب التثنية 5: 17.  وكل من يقتل يستحق المحاكمة.›,"# خر ‏20‏:13؛ تث ‏5‏:17؛ ‏16‏:18 «سمعتوا الي تقال لجدودكم: ""ما تقتلش، ولي يقتل يلزم يتحكم عليه.""",train,Tunis,MGR
«لذلك أقول لكم: إن ملكوت الله يؤخذ منكم، ويعطى لأمة تنتج ثمرا يناسب الملكوت.,هاذاكا علاش نقلكم: مملكة الله باش تتفكلكم وتتعطى لشعب يعملوا الثمر متاعها.»,train,Tunis,MGR
وإذ رأى الناس هذا، امتلأوا رهبة، ومجدوا الله لأنه أعطى مثل هذا السلطان للناس. متى يتبع يسوع,ووقتلي الناس شافوا الي جرى خافوا ومجدوا الله الي عطى سلطة كيف هاذي للبشر. يسوع يعيط لمتى ( مرقس ‏2‏:‏13‏-17 ؛ لوقا ‏5‏:‏27‏-32 ),train,Tunis,MGR
ثم جاء ابن الإنسان الذي يأكل ويشرب نبيذا كالآخرين، فقال عنه الناس: ‹انظروا إلى هذا الإنسان، فهو شره وسكير، وهو صديق لجامعي الضرائب والخطاة!› لكن ثمار الحكمة هي التي تثبت أنها حكمة صحيحة.» يسوع يحذر المدن الخاطئة,"جيت آنا إبن الإنسان ناكل الماكلة ونشرب الشراب قلتوا: ""آهو راجل هامع وسكارجي ويصاحب في الي يلموا في الضرايب والمذنبين."" آما راهي الحكمة يشهدولها ولادها.» المدن الي ما تابتش ( لوقا ‏10‏:‏13‏-15 )",train,Tunis,MGR
فمن يريد أن يخلص حياته، سيخسرها. أما من يخسر حياته من أجلي، فسيجدها.,راهو الي يحب يخلص حياتو يخسرها، ولي يخسر حياتو على خاطري باش يربحها.,train,Tunis,MGR
وجاء صوت من السماء: «هذا هو ابني المحبوب الذي أنا راض عنه كل الرضا.» تجربة يسوع,# مز ‏2‏:7؛ إش ‏42‏:1 وجا صوت مالسماء يقول: «إنت ابني الي نحبو، آنا فرحان بيك.» بليس يجرب يسوع ( متى ‏4‏:‏1‏-11 ؛ لوقا ‏4‏:‏1‏-13 ),train,Tunis,MGR
وجاء رجل أبرص إلى يسوع، وسجد على ركبتيه وأخذ يتوسل إليه ويقول: «أنت قادر أن تجعلني طاهرا، إن أردت.»,وجاه واحد أبرص يتشحت فيه وطاح على ركايبو قدامو وقال: «إذا إنت تحب راك تقدر تشفيني.»,train,Tunis,MGR
لذلك أجابوا يسوع وقالوا: «لا نعلم.» فقال لهم يسوع: «ولا أنا أخبركم بأي سلطان أفعل هذه الأمور.» مثل الابنين,إمالا جاوبوا يسوع: «ما نعرفوش.» وقاللهم يسوع: «حتى آنا ما نقلكمش بأي سلطة نعمل في الشيء هاذا.» مثل الزوز ولاد,train,Tunis,MGR
فذهب إلى كل أنحاء إقليم الجليل يبشر في مجامع اليهود، ويطرد الأرواح الشريرة. يسوع يشفي أبرص,ومشى يبشر في مجامع اليهود الي في منطقة الجليل الكلها ويخرج في الشواطن. الراجل الأبرص يتشفى ( متى ‏8‏:‏1‏-4 ؛ لوقا ‏5‏:‏12‏-16 ),train,Tunis,MGR
حينئذ مزق رئيس الكهنة ثيابه وقال: «لقد أهنت الله، فما الحاجة بعد إلى شهود؟ فقد سمعتم الآن إهانته لله.,قطع أعلى واحد في رؤساء الكهان دبشو وقال: «راهو كفر! ياخي مازلنا محتاجين لشهود؟ هاكم توا سمعتوه ككفر.,train,Tunis,MGR
