msa_sentence,dialect_sentence,dialect,region,split
كل عام والكل بخير رمضان سعيد,كل عام والكل بخير ورمضان كريم,Syria,LEV,train
يكون مصيره القتل,معناها بيستاهل القتل,Syria,LEV,train
سبحان الله انها ام جميلا حقا و عظيمه جداا و اتمنى بنات هذا الجيل يتعلموا منها و لو ربع هذه الاشياء الرائعه,يا سبحان الله عنجد أم حلوة كتير وعظيمة كتير ويارب بنات هاد الجيل يتعلموا منا حت لو ربع هالشغلات الرائعة,Syria,LEV,train
و هناك مواد  خام مثل الخشب و الطين و القمح,وفيه المواد خام الي هيه الخشب والطين والطحين,Syria,LEV,train
ولأن سرك عظيم نحن سوف ننسى غبائك,ولأنو ألك سر باتع ورهيب رح أنسى هابلنتك,Syria,LEV,train
لا  يجب ان نكون  بهذه  السلبيه  على  طول  الدوام .,لازم ما نكون سلبين على طول ونضربها بسكينة,Syria,LEV,train
على سبيل المثال إذا أخبرت خطيبتى إنها لن تعمل سوف تعتقد أننى أظلمها و أنها نصف المجتمع و إن حقها مهدر,يعني مثلا أنا لو قلت لخطيبتي ما تشتغلي رح تفكرر أنو بظلمها وانو هيه نصف المجتمع وأنو هيه أنهدرت حقوقها,Syria,LEV,train
بالتأكيد لن أطلب الطلاق لكن إذا كان الموضوع مسبب حزن للزوج فأعتقد انني سأطلب الزواج منه على الأقل حتى لا أشعر بالذنب,أكيد ما رح اطلب الطلاق بس لو الموضوع بسبب حزن للزوج فبعتقد أني الزواج على الأقل مشان ما أحس بالذنب,Syria,LEV,train
كانت أمريكان أول من تعلّم الدرس من السادات,امريكا أول وحدة تعلمت درس من أشرف السادات,Syria,LEV,train
هذا اذا استطعت ان تنسى من الممكن اسابيع او شهور و ايضا سنوات,هاد لو قدرت تنسى ممكن اسابيع وممكن شهور وكمان ممكن سنين,Syria,LEV,train
لم ينساها فى عمره لحظة,عمرو ما نسيها ولا لحظه,Syria,LEV,train
روح قلبي احلي ورده بالدنيا,حبيبت  قلبي أحلى وردة بالدنيا,Syria,LEV,train
ماذا تنتظر من اللصوص ؟,شو مستني من الحرامي ؟؟؟,Syria,LEV,train
يقترح مشاكل حقيقية مؤلمة بين الناس,بيطرح مشاكل واقعية مؤلمة بين الناس على الناس,Syria,LEV,train
علي فكرة الصورة جميلة جداً هل يمكننى أخد منها نسخة إذا سمحتي,على فكرة الصورة حلوة كتير ممكن أخد منها نسخة لو سمتحي,Syria,LEV,train
وايضا  الاخ   تويتى   من  وقف  على  منتصف  السلم .   انتظر الى .... التاسع  فى  ذالك  الكتاب  .  الذى  لم  نبادر  بشراءه حتى الان .,والأخ تويتي هاد الي وقف وفضحنا في نص السلم شوف العريس التاسع في الكتاب الي لسه مااشتريتو لحد هلق يا استاذ,Syria,LEV,train
تستطيع ان تسمع شهادات من النساء اللاتى تعرضن للتحرش و تضع نفسك بدلاً منهم و الرعب و القلق و الغثيان و الكابوس الذى يعيشن فيه؟,ممكن تسمع شهادات من بنات اتعرضو للتحرش وتحط حالك مكانهم الرعب والقلق والكابوس الي عايشين فيو ؟,Syria,LEV,train
كوكو كوو ورده هيا احضرى سريعا الى هنا و انظرى اختنا مشاغبه,كوكو كووووو وردة يا وردة يلا تعي بسرعة تعي شوفي أختنا مشاغية,Syria,LEV,train
السبت  والاحد والاثنين .... يختلفوا  فى الاسماء  ولكنهم  يتشابهون  تماما .,السبت والأحد والأثنين ... بيختلفو في الأسم بس كلن متل بعض ....,Syria,LEV,train
لكنه معزور ايضا لاننا عاده نقيم هذه الامسيات و الدعوه عامه,بس هو معذور كمان لأنو  نحنا عادة بنعمل الأمسيات الدعوة عامة ........,Syria,LEV,train
ومن  هنا  تبتدئ  المشاكل .,وخلص ومن هون رح تجي المشاكل,Syria,LEV,train
انا اتمنى ان اوجه للاباء الذين يقبلوا على الطلاق,أنا مشتهية أوجه للأباء الي بياخدوا قرار للطلاق,Syria,LEV,train
هل تتخيلوا 7000 ريال يوجد أشخاص كثيرة قليلة الحيلة تعتقد أن هذا حقيقى للأسف,متخيلين 7000ريال الناس كتير جدبة  بتفكر أنو هاد حقيقة بس لأسف,Syria,LEV,train
ويكفى ما قمت بدفعه لحفل العروس,كفاية الي دفعته لكوسة العروسه ...,Syria,LEV,train
يعتمد على الموقف الذى امامك,حسب الموقف الي قدامك,Syria,LEV,train
فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد,في الأغالب أن كل شاب رح يرفض انو يرتبط بفتاة أخد منها معظم الي بدو ياه,Syria,LEV,train
يزرع صفصافه كبيرة,بيزرع صفصافه كبيرة,Syria,LEV,train
اى فعل سياسى و اى قرار من اللازم ان نسال عن جدواه و من الازم طوال الوقت نراجع السؤال و نرى الاجابه هل مازالت قائمه ام لا,"أي فعل سياسي , أي قرار لازم تسأل شو جدواه ولازم كل شوية نرجع السؤال ونشوف الأجابة لسه قائمة ولا لأ .",Syria,LEV,train
ولا من الظلم والقهر الذى تتجرعه يومياً فى كؤوس المرار جعلنى أكره هذه البلد,والا من الظلم والقهر الي عم تحس فيه  يوميا في بشوفو في البلد خلاني كرهت البلد,Syria,LEV,train
سوف  تجد عندى  كل  دفاترى   وكتبى  من  سنتى الاولى  الابتدائيه  وحتى الان .,يعني بتلاقي عندي كتب ودفاتر من صف الأول لحد هلئ,Syria,LEV,train
الذى لا أفهمه أن يكون معك زميلك فى العمل و مدير,اللي أنا مو فاهمتو بقى أن يكون معك رفيقك في الشغل وفيه مدير,Syria,LEV,train
كل عام و انتى بخير يا عزيزتى و اتمنى ان تزوري مدونتى مع السلامه,كل سنة وأنتي سالمة يا قطقوطه وياريت تشوفي كتاباتي باي,Syria,LEV,train
ثم سالت الثانى ماذا تعنى   مصر بالنسبه لك ؟؟؟,وبعدين سألت التاني وأنت مصر بالنسبة ألك شو ؟,Syria,LEV,train
اكتب  بطريقه  صحيحه  دون ان  يلقننى احد.,وبكتب صح وبدون ما حدا ينقلني,Syria,LEV,train
يا ليت اعرف ما هو المطلوب منى و كيف انضم اليكم ؟,بس ياريت أعرف شو المطلوب مني وأنضم الكم كيف ؟؟؟؟,Syria,LEV,train
عطفطف من الأفضل انا ام عبد الناصر ؟؟,عطفطف مين أحسن أنا ولا عبد الناصر ؟؟,Syria,LEV,train
أو يشعر بالذى أمامه كيف بالذهب الضعيف يكون لديه جوهره غالية,أو بيحس باللي قدامه قدامه شون بالذهب التعبان هيك بيكون معه جوهره غالية,Syria,LEV,train
حمادة زيدان,حمادة زيدان,Syria,LEV,train
من حقنا ان نحلم  و نرى ما بالدنيا,من حقنا نحلم ولو هيك .... وهيك ونشوف الدنيا حلوة ...,Syria,LEV,train
بالتأكيد البنات بمعنى أننى لا استطيع رؤية بنت جميلة و عليا ان اركز فيها كثيراً,أكيد أكيد البنات يعني ما بقدر أشوف بنت حلوة وعم ركز كتير على كلمة حلوة حلوة مو أي شي تاني,Syria,LEV,train
وبكشف سر جديد,وبيكشف سر جديد,Syria,LEV,train
عد بى مره اخرى لصبايا و العب معى,رجعني تاني الصبي ولعب معي,Syria,LEV,train
لا  احد  يستطيع ان  يقول  ان  هذا  قدراٌ,مين اللي قال هاد قدر ؟؟؟؟؟؟,Syria,LEV,train
و الان من الممكن ان تعلن عن موضوع اليك من خلالل هذا الموضوع لانك تراه مهم او تضعه فى قسم لا يوجد عليه اقبال,هلئ  ممكن تعمل أعلان عن موضوع لألك من خلال هاد التوبيك لأنك شايفة مهم مثلا أو رح تتنازل في قسم ما عليه أقبال,Syria,LEV,train
الصعيدى قال له كيف تعرفنى,الصعيدي قلة أنت بتعرف كيف,Syria,LEV,train
انا لست أغلى من الدره .,"أنا مو أغلى من الدره ,,,,,",Syria,LEV,train
ولكن اين هى سمات شخصيتك  يا  رجل .,وبعدين فين شخصيتك أنت بقى ياأفندي,Syria,LEV,train
أقسم بالله الحالات جميلة و خاصة الذى يعشق شيكولاته النمل و بالمثل أيضاً الذى يشرب صابون الأطباق يبتلع طبقيين معه ... شكرا لك,ههه والله حالات كويسه خصوصا الي مات في الشوكلاته هاد تبع النمل يعني هيك الي بقى اللي بيشرب دوا الجلي تبع الصحون بيكون امدكل مرتين ههه شكرا ألك,Syria,LEV,train
سنحضر عدة كتب تناقش موضوع المقاييس,بيبقى نجيب كم كتاب بيحكي عن المقاييس,Syria,LEV,train
أنا شاكرة لأنه يوجد أحد يدعمنى هنا لأول مرة,شكرا أن هون في حدا بأيدني لأول مرة,Syria,LEV,train
والأشخاص في البلدن البعيدة يقطعون مسافات كبيرة لرؤيته,والي في البلاد البعيدة بيجو من مسافاة بعيدة كتير مشان يشفوها ونحنا,Syria,LEV,train
هل تصدقى ، نفس الشعور ، ماذا عن والده؟؟,بتصدقي نفس أحساسي أبوه شكله كيف ؟؟؟؟,Syria,LEV,train
من اجل الأمه و نحن غير قادرين ان نضحى بمنتج,من شان الأمة ونحنا مو قادرين أنو نضحي بمنتج,Syria,LEV,train
لأنه قوى وسريع ومهارى وهذة أهم مواصفات المهاجم فى الدورى الإنجليزى يا ليت يحترف وشكراً كلمة حق,هاد لأنو قوي وسريع وماهر وبغل وهي اهم مواصفات المهاجم في الدوري الأنكليزي ياريت يحترف وشكرا كلمة حق,Syria,LEV,train
فقد اعتادت الجده على  الاهتمام  باحفادها  دراسيا  . فهم  لم  ينضموا  مطلقا  لاى دروس خصوصية,وحتى ولاد أبنها هي الي بتدرسهم وما بيخدوا دروس,Syria,LEV,train
هذا إخطر بكثير من أن أحد يراهن على أهداف سويف أو محمد بكرى أيضاً,هاد أخطر من حدا بيناسف على أهداف سويف أو محمد بكري,Syria,LEV,train
لقد علمت  الحلزونه عن طريق مصطفى كنت اتحدث معه فى موضوع كره القدم البرتغاليه و قد دعانى مصطفى و اسلام كى اشترك فيها,أنا عرفت الحلزونة عن طرق مصطفى الي كنت عم أحكيه مره في الطابه في البرتغالي  وهو وإسلام هنن الي دعوني حتى اشترك,Syria,LEV,train
و بخصوص كلامك عن الاولاد الذين يسقطون بنطالهم و يظهرون غيارهم الداخلى انا شخصيا ضد المنظر,وبخصوص حكيك عن الولاد الي بيسحلو البطلون وبيبينو البوكسر تبعهم أنا شخصيا ضد النظر هاد كمان,Syria,LEV,train
نتحدى ان يضيع العمر فى الفوضى,بيتحدى يضيع العمر في الفوضى,Syria,LEV,train
و اعرف قيمه التسامح و مثلما قلت فوق عنه لكن احاول الا احرجها,وبعرف قيمة التسامح ومتل ما قلت فوق عنه بس بحاول أني ما اجرحو وخلص,Syria,LEV,train
حتى لا تعود اخد القطه و استمر فى المشى حتى تااه,مشان ما ترجع راح وأخد القطة وقعد يلف ويلف لحد م تاه,Syria,LEV,train
إستيقظ وجاهد طغمة الإجرام,أصحى وشاهد طعمة الإجرام,Syria,LEV,train
لكن هؤلاء قصتهم انتهت فى الماضى,ههههه بس هدول يا عيني قصتهم خلصت من زمان ههههه,Syria,LEV,train
وايضا لا يوجد  ملك  فقير .,وكمان مافي ملك فقير,Syria,LEV,train
اسف اذا جعلت الموضوع سطحيا,معلش أنا شكل سبحت الموضوع,Syria,LEV,train
أرأيت الخروف العربى كم هو مغرور,شفت الخروف العربي شايف حالو شلون,Syria,LEV,train
"و ""همت"" و ""عصمت""",وقررت وتراجعت,Syria,LEV,train
الدكتور نملئ البانيو مياه على اخره,الدكتور بيعبي البانيو مي على الأخير,Syria,LEV,train
لأ، لا لعبة البطاقات ولا دومينو,ولا حتى كوتشينه ولا دومينو بيتزا,Syria,LEV,train
مبروك كارنيه المحاماة يا متر,مبروك بطاقة المحاماة يا استاذ,Syria,LEV,train
انا احتاج الى كتاب ( كيف اتعلم الانجليزيه ) و اتعلمها كتابه ارجو الرد السريع لانى ساسافر الى امريكا,أنا بحاجه كتاب اتعلم اللغة الإنكليزية بكل سهولة ويسر واتعلمها كتابة ارجو الرد بأسرع وقت ممكن لاني مسافره على أمريكا,Syria,LEV,train
سامحك الله  يا نورس,الله يسامحك يا نورس,Syria,LEV,train
وكتير انخدعوا وعاشوا ظلمها,وكتير انخدعوا وعاشوا معها مظلموين,Syria,LEV,train
اذا جاراهم فى القول فانه يكون عالم له هيبته,لو مشي معهم بكلامهم معناها عالم الو هيبته,Syria,LEV,train
أنت وقدرتك على الملاحظة,أو أنت وملاحظتك بقى ....,Syria,LEV,train
أنا لم أقل شىء,أنا ما قلت حاج,Syria,LEV,train
لكى نستفيد انا و انت,مشان أنا وأنت نستفيد,Syria,LEV,train
حسناً هم يقفزون من الثلج الموجود أسفل أقدامهم .,طيب هنن عم ينطو من التلج الي تحت رجليهم ..,Syria,LEV,train
فلما اقدموا علي ذبح الحمر الاهليه,ولما أجو على ذبح الجمر الأهلية,Syria,LEV,train
القصة أنك ستفسديهم عليا,القصة هيك رح تخربيهم عليا,Syria,LEV,train
ماذا,ههههه,Syria,LEV,train
الناس سألته ماذا كان سؤالك؟؟,الناس قالتلو سؤال شو كان ؟؟؟,Syria,LEV,train
إذا كنت من النوع العاشق حتى الموت و إذا كنت من النوع الفقير حتى الكسوف,إذا كنت من النوع الي بيعشق لدرجة الموت وإذا كنت من النوع المسكين  الي بيخجل,Syria,LEV,train
وهذا فى حالة انه انسان مجرم بكل المقاييس . وهى لا تمتلك اى شئ فى يديها غير هذا لكى تنقذ نفسها من الموت على يديه .,يعني ممكن في حالة لو هو أنسان مجرم بكل المقاييس وهي مافي في إيدو غير هيك مشان تنفد من الموت على إيدو,Syria,LEV,train
ليس من العيب أن يبكوا مثل ما نور أخبرت من قبل,مو عيب أنن يبكو متل ما نور قالت هيك,Syria,LEV,train
انت دائما ً جاهز ولكننا تقدمنا فى العمر على هذه المواقف,دائما جاهزة نحنا كبرنا يا رجال على الكلام,Syria,LEV,train
دعنا يا اخى نقف امامهم افضل من انهم يقفوا امامنا,تعى يا عمو نوقف قدامهم أحسن ما همنن يقفو قدامنا,Syria,LEV,train
برجاء من الجميع أن تكون المشاركات ليست فقط مشجعة بل أيضاً تحتوى على إضافة جديدة أو معلومة جديدة متعلقة بالموضوع,بس ياربت يا جماعة الردود ما تكون بس مشجعة وكويسه وتكون كمان ردود فيها أضافة جديد أو معلومة جديدة متعلقة بالموضوع .,Syria,LEV,train
سجل فى منتديات المحترف وشارك معنا بـ آرائك,سجل في منتديات المحترف وشارك معنا بارائك,Syria,LEV,train
وان  عاش  مثل  البهلوان,حتى لو عايش متل البهلوان,Syria,LEV,train
الاما  انظر؟؟؟؟,أشوف شو ؟؟؟؟,Syria,LEV,train
إذاً، فيما سنتمكن من الحصول على شؤون الطالب ، وفيما سنحصل على صفقة الأطباء,طيب نطالع معاملة سؤون الطلاب في أي وقت وبنطالع معاملة الدكاترة في شو ؟؟؟,Syria,LEV,train
أنظر يا محمد ليس هناك أحد ينكر أن هناك أشخاص أمناء,شوف يا محمد ما حدا بينكر أن في أشخاص أميين,Syria,LEV,train
المقدمة إلينا لكن ما يحدث عكس ذلك تماما,الي اجت لعنا بس الي عم يصير عكس هيك تماما,Syria,LEV,train
ولكن لابد  من  اتباع  الاوامر . وسوف  تجد   متعه  ما  بعدها  متعه .,ولازم تتبع الأوامر بس متعه ما بعدها متعه,Syria,LEV,train
هل صحيح أن العالم هو لعبة كرة سلة,صحيح هي الدنيا لعبة سلة ؟؟؟؟,Syria,LEV,train
إننا نغير من الداخل ثم نبدأ بالتغيير من الخارج و يكفينا شرف المحاولة,نحنا نتغير من جوا وبعد هيك نبدا نغير من بره بيكفينا شرف المحاولة,Syria,LEV,train
وقال عاطف ..,وقال عاطف ....,Syria,LEV,train
هم  من  يفترض  بهم اتخاذ القرارات .  هم الحكومه .  هل نتبادل الاماكن .,هنن الي بيقرورا مو هنن الحكومة تعى قعود مكاني,Syria,LEV,train
وللأسف هذة هى نهاية أى أثنين يحبوا بعضهم البعض لأسباب أقوى منهم,وللأسف هاد بقى نهاية أي اتنين بيحبو بعض لأسباب أقوى منهم,Syria,LEV,train
فى النهاية أنت تستحق أكثر من هذا بكثير,وفي النهاية أنت بتستحق أكتر من هيك بكتير,Syria,LEV,train
من الرئيس يا اخى,رئيس مين يا ولد,Syria,LEV,train
ولكن في بعض الأحيان عندما يخبرك ذلك تشعر أنك تريد أن تقول له أنا أفضل منك، لماذا تقول ذلك، ولكن هذا خطأ,انت احيانا بتحس لما بيقلك هيك بتكون مشتهي تقله انا احسن منك ليش عم تقول هيك بس هاد غلط,Syria,LEV,train
سوف لا نتبع البحور ولا الوزن,لا رح اشغل حالي بجواز ولا ب وزن ....,Syria,LEV,train
قريبته ليست ملتزمة .. كيف ذلك؟,"قريبته مو ملتزمة , شلون هيك !!!!",Syria,LEV,train
و اشكر اخى تيتو الذى اتمنى ان اراه,وشكرا كتير لأخي تيتو حبيبي الي عنجد مشتهية كتير أشوفه,Syria,LEV,train
انا  احب  الناس جميعا  .لكن ان يدخل  احد قلبى  انا  لا احبذ  ذلك . اريد الله  سبحانه  وتعالى  فقط  ان  يسكن  قلبى .,أنا بحب الناس كلها بس حدا يدخل قلبي انا مو حابه أنو هاد يصير أنا بدي الي يسكن قلبي هو الله سبحانه وتعالى وبس,Syria,LEV,train
و انا معكم تماما فى هذا الموضوع,وانا والله معكم في الموضوع هاد,Syria,LEV,train
أتمنى من الرب يا أمة الله ان لا تخرج الجوائز,بس يارب يا أمة الله ما تطلع الجوائز,Syria,LEV,train
يا أستاذ سيد إنهم يغيرون فى الدستور,يا عمو  سيد عم يغيرو الدستور,Syria,LEV,train
إنى أسمع هذا الموضوع لأول مرة و أرجو ألا يزايد أحد على شبك أم نبيل و بشكل عام كل الشبكات اصبحت مثل بعض و كلهم سيئين,أنا أول مرة بسمع عن هاد الموضوع ولا حد يغلط في شبكة  موبنبيل وعلى العموم كل الشبكات صارت متل بعض كلن زفت ومو كويسين,Syria,LEV,train
كان ينبح على احد و لم يسمعه ، هذا الصعيدى أغلق على أصبعه الباب .. الباب تورم..,كان بيبكي على واحد ما بيسمع صعيدي أتسكر على أيدو الباب ....الباب ورم ....,Syria,LEV,train
احترم  ارائك .ولكن  يوجد افكار  اخرى  كثيره   من اللمكن  التفكير  بها .  مثل  ايقاظ  الشباب . واعطائهم الامل  وان  نوعيهم  ان  مصلحتهم  ليست فقط فى ..,وبحترم رأيك بس في افكار تانية كتير ممكن نفكر فيها لأزم نصحي الشباب ونعطيهم أمل وننخلين ينتبهو على مصلحتهم مو في الاستسلام مو بس بالوقفات الشجيية ....,Syria,LEV,train
والدكتور شعر بخيبة آمل ولكنه تفاجأ بأيد مرفوعة علي إستحياء إنها يد وسيم,والدكتور حس بخيبة أمل بس  أتفاجأ بأيد مرفوعة على خجل هي أيد وسيم,Syria,LEV,train
أعجبتك ، نحن فى مصر اى عريس يتقدم لعروسة يجب عليه السؤال عنها,عجبتك ؟ نحنا عنا بمصر أي عريس بيتقدم لعروس لازم يسأل عنها,Syria,LEV,train
انت من المفترض انك ذهبت الى الرجل الذى فى الشركه و شرحت له الموضوع,انت المفروض كنت رحت للرجال الي في الشركة وحكيتلو شو الموضوع,Syria,LEV,train
هذا اذا كان لديك النيه فى شراءه,هو اذا كان عندك نيه يشتريه,Syria,LEV,train
اهلا  انا  اشتطيع ان اجاوبك  على  هذا السؤال,مرحبا أنا ممكن أجاوبك على هاد السؤال,Syria,LEV,train
دودو حبيبه  قلبى .,دودو حبيبة قلبي أبوسك,Syria,LEV,train
تحويل الأحلام إلى نصوص .. و لكنك تجيد هذا,تحويل الأحلام إلى نص كتابي .... ولأنك شاطر,Syria,LEV,train
ومن المكن ان  يتجاوبوا  معه و  تجربه  طرق  اخرى للتقرب  والتودد  اليه .,والله ممكن يتجاوبوا ويحولوا بطريقة أو أكتر أنو يتقرب منه ويتودد إليه,Syria,LEV,train
"فى الواقع سىء الحظ ماذا يساوى؟ يساوى قرادة و التى تعنى هذا القرد ""قردك سىء الحظ""",اساسا النحاسة بتساوي شو بتساوي قراده يعني القرد هاد المنحوس ألك,Syria,LEV,train
وكل ما تحتاجينه للوصول الى الجاذبيه هو صديقاتك البنات,وكل شي انت بتحتاجه للوصول للجاذبية الي بيقدروها  رفقاتك  البنات,Syria,LEV,train
وأجعله يشعر أننى سأعطى له أكثر وأقوم وأضع يدى فى جيبه,وأحسسه أني رح أعطيه أكتر وبوهمو وبحط أيدي في جيبي,Syria,LEV,train
انا لا  اعلم  السبب  الحقيقى  وراء  ذلك  فقد  سبق  وحذف  لى  مقالا  من  قبل .,ما بعرف ليش متل ما أنحذفلي موضوع قبل هلئ ما بعرف شو السبب,Syria,LEV,train
قالوا الأمر بسيط سيكون فى ميدان التحرير فقال ماذا عن السعى ؟؟!,قالوا بسيطه في ميدان التحرير قالهم طيب عطوني طريق,Syria,LEV,train
و ياتى اليه الجميع من كل مكان للتعلم و به شيوخ افاضل لا يصح ان نقول عليهم ارهابيين او من به ارهابيين,ويجي عليه  الناس من كل مكان للتعليم فيه وفي شيوخ أفاضل ما بصير نقول عليه أرهاب أو من فيه ارهابين,Syria,LEV,train
هو زاد من الامر كثيراً,هههه هاد ذودها كتير كتير,Syria,LEV,train
لا شئ و لكنى أتعلم العزف على العود على قدر المستطاع,ولا شي بس أنا عم أتعلم على العزف على العود على قدي هيك,Syria,LEV,train
ثم انا سأُخطف ؟؟؟,وبعدين يعني أنا رح أنخطف  ولا رح أنخطف,Syria,LEV,train
كل عام و انتى طيبه,كل سنة وأنتي سالمة,Syria,LEV,train
الذوق هو كلمة طيبة نخفف بها عن أنسان مجروح كلمة جميلة يمكن أن تسعده و كلمة نتجنبها حتى لا تؤذى مشاعره,هو الذوق كلمة طيبة بنخفف فيها على انسان مجروح كلمة حلوة ممكن تسعده كلمة نتجنبها مشان ما نؤذي مشاعر حدا,Syria,LEV,train
انى منتبه معك اخى العزيز فى حديثك كله,أنا معك أخر العزيز في كل كلامك,Syria,LEV,train
بغداد خلف بيروت و غزة و الضفة ، دم العرب يهدر,بغداذ ورا بيروت وغزة والضفة هنن دم العرب يا مايا,Syria,LEV,train
عندى اقتراح و اتمنى ينول اعجابكم ننشأ منتدى و نطلق عليه اسم كرسى الاعتراف,أنا عندي اقتراح يا رب يعجبكم نعمل منتدى ونسميه كرسي الأعتراف,Syria,LEV,train
اهلا و مرحبا بك فى المنتدى ، سيدى,منور المنتدى يا استاذ,Syria,LEV,train
كما قلت قبل ذلك هناك الجيد وهناك الشرير,متل ما قلتلك قبل هالمرة بالحلوة والمرة,Syria,LEV,train
و إحساسى أننى على قيد الحياة,وأحساسي بأني عايش,Syria,LEV,train
هذا ليس سليم لانه منتدى جامعى و المشتركين من الجامعات,وهاد مو صح لأنو هاد منتدى جامعي يعني الي بيدخلو عليه كلن من الكلية,Syria,LEV,train
وهذا عندما تكون فى حاله تأكد انك لا تريد هذه الملفات,وهاد لما بتكون متأكد أنك ما بدك الملفات هي ....,Syria,LEV,train
انا  فى  احتياج  لمصدر  معلوماتك  لانه,لازم تقولي المرجع الي جبتي منو المعلومة مشان ؟؟؟؟,Syria,LEV,train
انا طالب ماجيستير فى الفيزياء و اريد اطار نظرى,أنا طالب ماستر في الفيزياء وبدي أطار نظري,Syria,LEV,train
مثلا يا هبه الاطفال فى فلسيطين و العراق لا يوجد فى ايديهم شئ يحاربوا به لذلك يحاربوا بالحجاره,يعني مثلا يا هبة الأطفال الي في فلسطين والعراق ماهنن مافي شي يعملوا مشان هيك عم يحاربو بالحجارة,Syria,LEV,train
اغنى مع طائرى اوقات اتوه و اوقات اقابل القمر,بغني مع عصفور ساعات أجو مرات بشوف القمر,Syria,LEV,train
و غيرت البريد الالكترونى عدة مرات,وغيرت الأيميل أكتر من مرة,Syria,LEV,train
رغم إننى من المفترض من الناس المتفوقين المتقع لهم فوق التسعين,رغم أنو المقروض هو من الناس المتفوقة المتوقع الهم يجيبو فوق  التسعين,Syria,LEV,train
ولكن أي رايي قد يلبي مقاييس المنطق والتدقيق وبعيد كل البعد عن الصراعات الشخصية والأصولية,بس أي رأي بيستوفي معايير المعقولة والمرضان الي بيبعد عن قدر الطاقة وعن النزعات الشخصية والتعصب,Syria,LEV,train
الرسالة من هذة النوعية أنا أعتز بها جداً وأتركها عندى دائماً,الرسالة الي من هالنوعية أنا بتشرف فيها وبخليها عندي على طول,Syria,LEV,train
النسمة خرجت مثل الخيل فى الفضا,النسمه طلعت تركض متل الحصان في الخلا,Syria,LEV,train
و أنا من الناس التى ستموت إن لم يأكلوا كنتالوب,وأنا من الناس الي بتموت إذا ما أكلو كنتالوب,Syria,LEV,train
لو قلنا الأن أن الأخوة سيرفضونه ثق فى الله سيكون ذلك قريب,نحنا لو قلنا هلئ الأخوة هدول لو اتكلوا على الله إن شاء الله عن قريب,Syria,LEV,train
هذا الكلام لا تفعله جميع البنات و لكننا نعلم انه يحدث و لكن حقا جاء الوقت الذى فيه نغير ارائنا,طبعا هاد كلام ما بتعملو جميع البنات بس نحنا بنعرف أنو بيصير طبعا بيصير بس فعلا والله أجى الوقت اننا نغير بقى أرائنا هي شوي,Syria,LEV,train
ولما  لا  .  لا  تأخذنى  دعنا  نتحدث  فى صميم  الامر  .فى المحاكمه .,ولما لا مؤاخذة خلينا في الموضوع في المحاكمة,Syria,LEV,train
انا نسيتك أحب فيك أسمع كلام قضيت حياتى انتظر معى لمسة منك,أنا نسيتك بحب فيك بسمع كلام وعشت حياتي استنى معايا لمستك,Syria,LEV,train
بعد مضي شهر من زواج الدودة الليفية على صرصور قام بتطليقها هل تعرفوا لماذا ؟؟ نصف مرتبه يشتري به جوارب,بعد ما يمضى شهر على الزواج أم أربع وأربعين على صرصور راح طلقها بتعرفو ليش ؟؟ نص راتبو بيشتري فيه شرابات ههههههه,Syria,LEV,train
تقبلي مروري واحترامي لكي استاذتي الكريمة,تقبلي شكري الك مع أحترامي وحبي وتقديري ألك استاذتي الكريمة,Syria,LEV,train
قد قاربت و لكن عندما يكون عبقرى مثلى يقف امام وغد مثلك,على وشك بس لما فهيم متلي بيوقف قدام حيوان متلك,Syria,LEV,train
لا اعرف لماذا هذا الشاب هايد بارك العرب يبالغ اين العدل ايها الظالم,أنا مو عارف الكويس هايد بارك العرب هاد مزودها ليش حرام عليك يا ظالم ههههه,Syria,LEV,train
و لا تصدقى ذلك ان هناك معاكسات او اى شىء,ولا تصدي أنو في تلطيشات ولا شي,Syria,LEV,train
ادراجى الجديد. لكى كل  التحيه .,اصدراي الجديد ألك سلااااااااماتي,Syria,LEV,train
المريض نعطيه حقنه,المرضان رح أعطيه ابرة,Syria,LEV,train
ومن  نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية .,ومن نظرة الشباب الي أخدين الموضع مجرد تسلية مو أكتر,Syria,LEV,train
و قالوا سنذهب إلى شيخ المساطيل,المهم قالو خلص نحنا بنروح عند شيخ المساطيل,Syria,LEV,train
و من المفترض ان اى شخصين فى علاقه حب لا يجرحوا بعضهما البعض,المفروض أنو أي اتنين بيحبو بعض ما يجرحو بعض,Syria,LEV,train
و معتقدين ان الغرب هو الاشياء الاباحية فقط و لكن أنظروا الى علم الكيمياء,ومفكرين الغرب بورنو بس بينظر عالم الكيمياء,Syria,LEV,train
تحية يا راشد هذه أول زيارة و لن تكون الاخيرة,مرحبا يا راشد هي أول زيارة وما رح تكون الأخيرة,Syria,LEV,train
أقسم بالله انه صحيح كلمات هذه الأغانى,والله يا ولاد طلع صح كلام أغاني دانا,Syria,LEV,train
وأنا إتفاجئت من كمية الردود الجاهزة فى هذا الموضوع,ومليت من كمية الردور الموجودة في الموضع,Syria,LEV,train
ثم سأل طالبا آخر مامعنى كلمة سلسبيل ؟,رجع سأل طالب تاني ما معني كلمة سلسبيل ؟,Syria,LEV,train
كل عام و أنت بخير,كل سنة وأنت سالم,Syria,LEV,train
